耗材类别	总序号	产品序号	耗材分类代码	"一级分类
（学科、品类）"	"二级分类
（用途、品目）"	"三级分类
（部位、功能、品种）"	"通用名
代码"	"医保
通用名"	"材质
代码"	材质	"特征
代码"	特征参数
单/多部件金属骨固定器械及附件	1	1	C03050107901001	骨科材料	拉力钉	空心拉力螺钉	079	螺钉	01	不锈钢	001	灭菌
	2	2	C03050107901002	骨科材料	拉力钉	空心拉力螺钉	079	螺钉	01	不锈钢	002	非灭菌
	3	3	C03050107902001	骨科材料	拉力钉	空心拉力螺钉	079	螺钉	02	纯钛	001	灭菌
	4	4	C03050107902002	骨科材料	拉力钉	空心拉力螺钉	079	螺钉	02	纯钛	002	非灭菌
	5	5	C03050107903001	骨科材料	拉力钉	空心拉力螺钉	079	螺钉	03	钛合金	001	灭菌
	6	6	C03050107903002	骨科材料	拉力钉	空心拉力螺钉	079	螺钉	03	钛合金	002	非灭菌
	7	7	C03050207901001	骨科材料	拉力钉	非空心拉力螺钉	079	螺钉	01	不锈钢	001	灭菌
	8	8	C03050207901002	骨科材料	拉力钉	非空心拉力螺钉	079	螺钉	01	不锈钢	002	非灭菌
	9	9	C03050207902001	骨科材料	拉力钉	非空心拉力螺钉	079	螺钉	02	纯钛	001	灭菌
	10	10	C03050207902002	骨科材料	拉力钉	非空心拉力螺钉	079	螺钉	02	纯钛	002	非灭菌
	11	11	C03050207903001	骨科材料	拉力钉	非空心拉力螺钉	079	螺钉	03	钛合金	001	灭菌
	12	12	C03050207903002	骨科材料	拉力钉	非空心拉力螺钉	079	螺钉	03	钛合金	002	非灭菌
	13	13	C03110108001001	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	001	普通/含紧急释放钉/灭菌
	14	14	C03110108001002	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	002	普通/含紧急释放钉/非灭菌
	15	15	C03110108001003	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	003	普通/不含紧急释放钉/灭菌
	16	16	C03110108001004	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	004	普通/不含紧急释放钉/非灭菌
	17	17	C03110108001005	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	005	锁定加压/含紧急释放钉/灭菌
	18	18	C03110108001006	骨科材料	接骨板	胸骨接骨板	080	固定板	01	不锈钢	006	锁定加压/含紧急释放钉/非灭菌
